#{"t_start": 1776670605.7900777, "env_id": "None"}
r,l,t
-10192.10088,1080,392.038879
-7604.695218,1080,393.447822
-5612.000443,1080,394.064081
-3796.33413,1080,395.465145
475.321778,1080,396.077084
-10603.93955,1080,397.417853
-10496.008073,1080,398.027656
-7353.97675,1080,399.360528
-3694.187005,1080,400.654806
-14463.340654,1080,401.281204
-5081.547929,1080,402.663517
2446.057824,1080,403.297188
-6391.790984,1080,404.683809
-4891.239203,1080,405.28205
-7799.82876,1080,406.65058
-4174.368568,1080,407.261778
-5092.540412,1080,408.611984
-6397.093929,1080,409.219577
-4126.894579,1080,410.581427
-537.044161,1080,411.18882
-1259.703628,1080,412.507761
-2642.281099,1080,413.117451
-9883.453855,1080,414.5167
-2966.900985,1080,415.119288
-768.391442,1080,416.51562
-3552.863366,1080,417.779202
-9147.193628,1080,418.437016
-11070.467906,1080,419.792939
-2385.015804,1080,420.426435
-16016.703295,1080,421.787719
-3925.147409,1080,422.400651
-10620.1796,1080,423.743271
-6308.101613,1080,424.340123
-9087.960886,1080,425.688573
-3921.365414,1080,426.295951
-11722.360984,1080,427.675082
-5783.61959,1080,428.287226
-4709.664754,1080,429.665188
-8138.309981,1080,430.269844
319.067916,1080,431.642155
-4944.88488,1080,432.244969
-1289.782996,1080,433.553999
-10972.214255,1080,434.156873
-7473.28497,1080,435.528632
-8221.452676,1080,436.833353
-23382.487461,1080,437.475476
-9436.524786,1080,438.754485
-23585.149964,1080,439.390711
-2021.017582,1080,440.748847
-7980.167418,1080,441.353874
-8866.828766,1080,442.731044
-455.578932,1080,443.336579
-20897.314028,1080,444.681862
-5058.038468,1080,445.286006
-4156.205287,1080,446.682005
-10398.255993,1080,447.298949
-14096.189522,1080,448.653859
-10772.315926,1080,449.268003
-19435.593866,1080,450.611164
-5443.419401,1080,451.213833
-6323.969151,1080,452.59946
-3416.018268,1080,453.216284
-10104.522541,1080,454.519781
-11453.528989,1080,455.835014
-23855.954841,1080,456.48912
-5622.751334,1080,457.824729
-14495.258358,1080,458.444332
-17791.124613,1080,459.919222
-22111.093811,1080,460.514002
-12621.226553,1080,461.907471
-10488.493043,1080,462.513544
-20430.868861,1080,463.837707
-15902.748368,1080,464.43899
-17278.515545,1080,465.82412
-21204.050422,1080,466.422872
-41425.080261,1080,467.834997
-7701.883004,1080,468.438347
-7298.17301,1080,469.746104
-24395.742964,1080,470.339262
-12499.740343,1080,471.739506
-21957.608429,1080,472.988854
-15467.141611,1080,473.66142
-16614.758773,1080,474.987827
-24113.236801,1080,475.61885
-35523.234382,1080,477.037435
-20384.986283,1080,477.640414
-19046.522272,1080,478.997669
-14048.205279,1080,479.583776
-44916.088922,1080,480.959581
-22305.606966,1080,481.567298
-24576.029719,1080,482.958931
-16941.76527,1080,483.564966
-11306.560508,1080,484.96465
-11037.252995,1080,485.569182
-10493.245183,1080,486.967984
-15071.832229,1080,487.568372
-18071.331863,1080,488.919196
-11056.323516,1080,489.508461
-18382.899891,1080,490.870022
-17329.484372,1080,492.234019
-5410.134702,1080,492.887571
-18426.273094,1080,494.180484
-9325.629067,1080,494.804738
-17982.773054,1080,496.176811
-14495.09456,1080,496.778068
-15587.578793,1080,498.14617
-11291.407771,1080,498.74279
-7376.62085,1080,500.144508
-18192.413768,1080,500.751586
-5653.116051,1080,502.113941
-13352.204171,1080,502.719993
-18099.398713,1080,504.086709
-7493.691751,1080,504.690174
-33911.105143,1080,506.022393
-20150.400974,1080,506.628468
-3826.390852,1080,507.961104
-7098.043894,1080,509.23815
-24698.39437,1080,509.897071
-8987.279108,1080,511.212817
-17264.031551,1080,511.867261
-29138.932131,1080,513.171496
-23005.954787,1080,513.779171
-18458.435006,1080,515.143182
-24190.126242,1080,515.759538
-13633.946872,1080,517.095501
-10420.223358,1080,517.696024
-39958.482273,1080,519.080045
-6653.490314,1080,519.696708
-23121.140764,1080,521.058145
-16425.10416,1080,521.662251
1434.214636,1080,523.030913
1078.919146,1080,523.632548
-16571.825548,1080,525.017993
-17392.941857,1080,525.615594
-17044.302802,1080,526.971008
-7781.307078,1080,528.316535
-16717.137669,1080,528.993947
-12862.56192,1080,530.346063
-16680.519921,1080,530.992179
-18575.325974,1080,532.35477
-38334.865315,1080,532.980143
-11956.489946,1080,534.254779
