step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
9370 -> 9370,0.1,1_惰行,13.3 -> 13.3,2.890 -> 2.890,0.0,0.0,0.0,-21.0,-22.0
9380 -> 9380,0.1,1_惰行,13.0 -> 13.0,2.891 -> 2.891,0.0,0.0,0.0,-21.0,-22.0
9390 -> 9390,0.1,1_惰行,12.8 -> 12.8,2.892 -> 2.892,0.0,0.0,0.0,-21.0,-22.0
9400 -> 9400,0.1,1_惰行,12.5 -> 12.5,2.893 -> 2.893,0.0,0.0,0.0,-21.0,-22.0
9410 -> 9410,0.1,1_惰行,12.3 -> 12.3,2.894 -> 2.894,0.0,0.0,0.0,-20.9,-21.9
9420 -> 9420,0.1,1_惰行,12.0 -> 12.0,2.895 -> 2.895,0.0,0.0,0.0,-20.9,-21.9
9430 -> 9430,0.1,2_ブレーキ,-0.6 -> -0.6,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9440 -> 9440,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9450 -> 9450,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9460 -> 9460,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9470 -> 9470,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9480 -> 9480,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9490 -> 9490,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9500 -> 9500,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
9510 -> 9510,0.1,1_惰行,-0.0 -> -0.0,2.895 -> 2.895,0.0,0.0,0.0,-20.0,-26.0
